Id,LotFrontage,LotArea,LotShape,Utilities,LandSlope,OverallQual,OverallCond,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,SalePrice,SalePrice_Log,TotalEffectiveSF,HouseAge,RemodAge,IsRemodeled,HasPool,HasMiscFeature,IsNonFlatLot,Has_Pos_Amenity,Has_Traffic_Disturbance,Has_Railroad_Disturbance,Is_Standard_Roof,Is_GasA_Heating,HouseStyle_Stories,Is_Split_Layout,Is_New_Construction,Is_Distressed_Sale,Is_Normal_Sale,Nbhd_bit0,Nbhd_bit1,Nbhd_bit2,Nbhd_bit3,Nbhd_bit4,MSSubClass_160,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSSubClass_Other,MSZoning_Other,MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Pave,Alley_Missing,Alley_Pave,LotConfig_CulDSac,LotConfig_FR2,LotConfig_Inside,LotConfig_Other,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,RoofStyle_Hip,RoofStyle_Other,Exterior1st_BrkFace,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Other,Exterior1st_Plywood,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_BrkFace,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkFace,MasVnrType_Missing,MasVnrType_Stone,Foundation_CBlock,Foundation_Other,Foundation_PConc,Foundation_Slab,CentralAir_Y,Electrical_FuseF,Electrical_Other,Electrical_SBrkr,GarageType_Basment,GarageType_BuiltIn,GarageType_Detchd,GarageType_Missing,GarageType_Other,MiscFeature_Other,MiscFeature_Shed,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotArea_log,LotFrontage_log
11,70.0,11200,4,4,3,5,5,0.0,3,3,3,3,1,3,906,1,0,134,1040,5,1040,0,0,1040,1,0,1,0,3,1,3,7,0,0,1,1,3,3,3,0,0,0,0,0,0,0,0,0,2,129500,11.771443882099636,2080,43,43,0,0,0,0,0,0,0,1,1,1.0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,9.32375833901174,4.2626798770413155
12,85.0,11924,3,4,3,9,5,286.0,5,3,5,3,1,6,998,1,0,177,1175,5,1182,1142,0,2324,1,0,3,0,4,1,5,7,2,4,3,3,3,3,3,147,21,0,0,0,0,0,0,0,7,345000,12.75130259456002,3667,1,0,1,0,0,0,0,0,0,1,1,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,9.386392315756542,4.454347296253507
13,70.04995836802665,12968,2,4,3,5,6,0.0,3,3,3,3,1,5,737,1,0,175,912,3,912,0,0,912,1,0,1,0,2,1,3,7,0,0,1,1,3,3,3,140,0,0,0,176,0,0,0,0,9,144000,11.87757552297847,2140,46,46,0,0,0,0,0,0,0,1,1,1.0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,9.470317173335742,4.2633832685897595
14,91.0,10652,3,4,3,7,5,306.0,4,3,4,3,3,1,0,1,0,1494,1494,5,1494,0,0,1494,0,0,2,0,3,1,4,7,1,4,2,3,3,3,3,160,33,0,0,0,0,0,0,0,8,279500,12.54076114938842,3181,1,0,1,0,0,0,0,0,0,1,1,1.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9.273596821611198,4.5217885770490405
15,70.04995836802665,10920,3,4,3,6,5,212.0,3,3,3,3,1,4,733,1,0,520,1253,3,1253,0,0,1253,1,0,1,1,2,1,3,7,1,2,2,1,3,3,3,0,213,176,0,0,0,0,2,0,5,157000,11.964007453736912,2895,48,48,0,0,0,0,0,0,0,1,1,1.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9.298442820197728,4.2633832685897595
16,51.0,6120,4,4,3,7,8,0.0,3,3,3,3,1,1,0,1,0,832,832,5,854,0,0,854,0,0,1,0,2,1,3,7,0,0,1,2,3,3,3,48,112,0,0,0,0,0,4,0,7,132000,11.790564777297387,1846,78,6,1,0,0,0,0,0,0,1,1,1.25,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,8.71948076085107,3.9512437185814275
17,70.04995836802665,11241,3,4,3,6,7,180.0,3,3,3,3,1,5,578,1,0,426,1004,5,1004,0,0,1004,1,0,1,0,2,1,3,7,1,3,3,2,3,3,3,0,0,0,0,0,0,0,0,700,3,149000,11.91170829631447,2008,40,40,0,0,1,0,0,0,0,1,1,1.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,9.32741204356202,4.2633832685897595
18,72.0,10791,4,4,3,4,5,0.0,3,3,0,0,0,0,0,0,0,0,0,3,1296,0,0,1296,0,0,2,0,2,2,3,7,0,0,1,2,3,3,3,0,0,0,0,0,0,0,0,500,10,90000,11.407576060361786,1296,39,39,0,0,1,0,0,0,0,1,1,1.0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,9.286560397887591,4.290459441148391
19,66.0,13695,4,4,3,5,5,0.0,3,3,3,3,1,6,646,1,0,468,1114,5,1114,0,0,1114,1,0,1,1,3,1,4,7,0,0,1,2,3,3,3,0,102,0,0,0,0,0,0,0,6,159000,11.976665770490769,2330,4,4,0,0,0,0,0,0,1,1,1,1.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,9.524859098381523,4.204692619390966
20,70.0,7560,4,4,3,5,6,0.0,3,3,3,3,1,2,504,1,0,525,1029,3,1339,0,0,1339,0,0,1,0,3,1,3,6,0,0,1,1,3,3,3,0,0,0,0,0,0,0,3,0,5,139000,11.842236406331557,2368,51,44,1,0,0,0,0,0,0,1,1,1.0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,8.93075873555827,4.2626798770413155
21,101.0,14215,3,4,3,8,5,380.0,4,3,5,3,3,1,0,1,0,1158,1158,5,1158,1218,0,2376,0,0,3,1,4,1,4,7,1,4,2,3,3,3,3,240,154,0,0,0,0,0,0,0,11,325300,12.692506186542175,3928,1,0,1,0,0,0,0,0,0,1,1,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,9.562123369834488,4.624972813284271
22,57.0,7449,4,4,3,7,7,0.0,3,3,3,3,1,1,0,1,0,637,637,5,1108,0,0,1108,0,0,1,0,3,1,4,7,1,4,1,1,3,3,1,0,0,205,0,0,0,0,4,0,6,139400,11.84510995088398,1950,77,57,1,0,0,1,0,0,0,1,1,1.25,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8.915969311373605,4.060443010546419
23,75.0,9742,4,4,3,8,5,281.0,4,3,4,3,1,1,0,1,0,1777,1777,5,1795,0,0,1795,0,0,2,0,3,1,4,7,1,4,2,2,3,3,3,171,159,0,0,0,0,0,0,0,9,230000,12.345838935721968,3902,6,6,0,0,0,0,0,0,0,1,1,1.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9.184304357425342,4.330733340286331
24,44.0,4224,4,4,3,5,7,0.0,3,3,4,3,1,6,840,1,0,200,1040,3,1060,0,0,1060,1,0,1,0,3,1,3,7,1,3,1,2,3,3,3,100,110,0,0,0,0,0,0,0,6,129900,11.774527900858468,2310,31,31,0,0,0,0,0,0,0,1,1,1.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,8.348774539791274,3.8066624897703196
25,70.04995836802665,8246,3,4,3,5,8,0.0,3,4,3,3,2,3,188,5,668,204,1060,5,1060,0,0,1060,1,0,1,0,3,1,4,7,1,3,1,1,3,3,3,406,90,0,0,0,0,0,3,0,5,154000,11.944714374881176,2616,42,9,1,0,0,0,0,0,0,1,1,1.0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9.017604776833355,4.2633832685897595
26,110.0,14230,4,4,3,8,5,640.0,4,3,4,3,1,1,0,1,0,1566,1566,5,1600,0,0,1600,0,0,2,0,3,1,4,7,1,4,2,3,3,3,3,0,56,0,0,0,0,0,0,0,7,256300,12.454107814022272,3222,2,2,0,0,0,0,0,0,0,1,1,1.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9.56317796268366,4.709530201312334
27,60.0,7200,4,4,3,5,7,0.0,3,3,3,3,2,4,234,3,486,180,900,3,900,0,0,900,0,1,1,0,3,1,4,7,0,0,1,2,3,3,3,222,32,0,0,0,0,0,0,0,5,134800,11.811554895830454,2054,59,10,1,0,0,0,0,0,0,1,1,1.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,8.881975184248867,4.110873864173311
28,98.0,11478,4,4,3,8,5,200.0,4,3,5,3,1,6,1218,1,0,486,1704,5,1704,0,0,1704,1,0,2,0,3,1,4,7,1,4,2,3,3,3,3,0,50,0,0,0,0,0,0,0,5,306000,12.631343648903034,3458,3,2,1,0,0,0,0,0,0,1,1,1.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9.348274558065496,4.59511985013459
29,47.0,16321,3,4,3,5,6,0.0,3,3,3,3,4,4,1277,1,0,207,1484,3,1600,0,0,1600,1,0,1,0,2,1,3,7,2,4,2,1,3,3,3,288,258,0,0,0,0,0,0,0,12,207500,12.242891437918386,3630,49,9,1,0,0,0,0,0,0,1,1,1.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9.700269170029188,3.871201010907891
30,60.0,6324,3,4,3,4,6,0.0,3,3,3,3,1,1,0,1,0,520,520,2,520,0,0,520,0,0,1,0,1,1,2,7,0,0,1,1,2,3,3,49,0,87,0,0,0,0,0,0,5,68500,11.134603622683905,1176,81,58,1,0,0,0,0,1,1,1,1,1.0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,8.752265313595721,4.110873864173311
31,50.0,8500,4,4,3,4,4,0.0,3,2,3,3,1,1,0,1,0,649,649,3,649,668,0,1317,0,0,1,0,3,1,3,7,0,0,1,1,3,2,1,0,54,172,0,0,0,0,3,0,7,40000,10.59665973278358,2192,88,58,1,0,0,0,0,1,0,1,1,2.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,9.04793908261736,3.9318256327243257
32,70.04995836802665,8544,3,4,3,5,6,0.0,3,3,3,3,1,1,0,1,0,1228,1228,4,1228,0,0,1228,0,0,1,1,3,1,4,7,0,0,1,1,3,3,3,0,65,0,0,0,0,0,3,0,6,149350,11.914054519303123,2521,42,2,1,0,0,0,0,0,0,1,1,1.0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9.053101595549691,4.2633832685897595
33,85.0,11049,4,4,3,8,5,0.0,4,3,5,3,3,1,0,1,0,1234,1234,5,1234,0,0,1234,0,0,2,0,3,1,4,7,0,0,2,2,3,3,3,0,30,0,0,0,0,0,0,0,1,179900,12.100161978566868,2498,1,1,0,0,0,0,0,0,0,1,1,1.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9.3101857069459,4.454347296253507
34,70.0,10552,3,4,3,5,5,0.0,3,3,3,3,1,3,1018,1,0,380,1398,4,1700,0,0,1700,0,1,1,1,4,1,4,7,1,4,2,2,3,3,3,0,38,0,0,0,0,0,0,0,4,165500,12.016732516077072,3136,51,51,0,0,0,0,0,0,0,1,1,1.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9.26416545867109,4.2626798770413155
